pref_num,name,2015年,2020年,2025年,2030年,2035年,2040年,2045年,rate,rate2
2412,おいらせ町,24222,23975,23551,22992,22243,21334,20275,94.9,83.7
2423,大間町,5227,4739,4251,3782,3349,2922,2520,72.4,48.2
2424,東通村,6607,6139,5663,5199,4741,4260,3778,78.7,57.2
2425,風間浦村,1976,1742,1521,1311,1118,934,774,66.3,39.2
2426,佐井村,2148,1873,1627,1407,1200,1013,843,65.5,39.2
2441,三戸町,10135,9069,8042,7083,6183,5347,4563,69.9,45.0
2442,五戸町,17433,16113,14764,13404,12052,10681,9304,76.9,53.4
2443,田子町,5554,4980,4418,3893,3420,2967,2529,70.1,45.5
2445,南部町,18312,16806,15276,13817,12422,11050,9667,75.5,52.8
2446,階上町,14025,13319,12502,11715,10906,9987,8970,83.5,64.0
2450,新郷村,2509,2248,1996,1764,1544,1336,1133,70.3,45.2
3000,岩手県,1279594,1224194,1161638,1096141,1028673,957788,884518,85.7,69.1
3201,盛岡市,297631,293735,287099,278710,268708,256886,243694,93.6,81.9
3202,宮古市,56676,52926,49071,45176,41293,37441,33688,79.7,59.4
3203,大船渡市,38058,35289,32486,29666,26846,24060,21334,77.9,56.1
3205,花巻市,97702,92969,87724,82324,76780,71069,65313,84.3,66.8
3206,北上市,93511,92373,90511,88168,85373,82033,78235,94.3,83.7
3207,久慈市,35642,33925,32085,30145,28166,26111,23950,84.6,67.2
3208,遠野市,28062,26328,24506,22689,20958,19235,17498,80.9,62.4
3209,一関市,121583,114777,107577,100322,93189,85744,78013,82.5,64.2
3210,陸前高田市,19758,18443,17084,15721,14313,12900,11486,79.6,58.1
3211,釜石市,36802,34374,31331,28509,25801,23266,20909,77.5,56.8
3213,二戸市,27611,25504,23387,21299,19258,17255,15281,77.1,55.3
3214,八幡平市,26355,23845,21382,19029,16826,14680,12574,72.2,47.7
3215,奥州市,119422,113368,106623,99778,92975,85931,78750,83.6,65.9
3216,滝沢市,55463,56058,55998,55255,53935,52072,49824,99.6,89.8
3301,雫石町,16981,15842,14636,13422,12222,10999,9793,79.0,57.7
3302,葛巻町,6344,5615,4914,4265,3651,3077,2545,67.2,40.1
